vx11-spawner-test  | INFO:     172.18.0.3:37814 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43798 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:58248 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39182 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:37086 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43440 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:45514 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56656 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56082 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:38320 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:40560 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49948 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:35950 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54798 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59628 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56080 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:54586 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54934 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:54478 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57056 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:34430 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56992 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:45922 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56890 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33904 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:50482 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57602 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39414 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:37254 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57796 - "GET /health HTTP/1.1" 200 OK
